Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
广告奖励,Advertising Rewards,广告奖励,,,,,,広告報酬,광고 보상
看广告可以使用这个厉害的武器哟~,Watch ads to use this powerful weapon!,看广告可以使用这个厉害的武器哟~,,,,,,広告を見ればこの強力な武器を使うことができますよ~,광고를 보시면 이 강력한 무기를 사용하실 수 있습니다~
取消,Cancel,取消,,,,,,キャンセル,취소
免费获取,FREE,免费获取,,,,,,無料で入手,무료로 받으세요
提示,Tips,提示,,,,,,ヒント,힌트
确认花费258888金币购买,Confirm spending 258888 coins to buy,确认花费258888金币购买,,,,,,258888金貨での購入確認,258888 금화 비용으로 구매 확인
确定,Confirm,确定,,,,,,もちろん,확신하는
恭喜你获得新手大礼包     生命值+10000                        攻击力+500                         等级+20,"Congratulations on obtaining the Beginner Pack HP + 10,000 ATK + 500 Level +20",恭喜你获得新手大礼包     生命值+10000                        攻击力+500                         等级+20,,,,,,おめでとうございます、あなたは新人ギフトパックを受け取りました ライフ+10000 攻撃力+500 レベル+20,"축하합니다, 초보자 선물 팩 생명력+10000 공격력+500 레벨+20을 받으셨습니다."
前往斗神大陆,Go to Arena Continent,前往斗神大陆,,,,,,ゴッド・オブ・ファイターズ大陸へ,갓 오브 파이터즈 대륙으로 이동
复活小舞,Respawn Dance,复活小舞,,,,,,復活するダンス,부활의 춤
萧炎，我是美杜莎呀，快来魔兽山脉救我哇~,"Xiaoyan, it's Medusa. Come and rescue me in the Beast Mountains!",萧炎，我是美杜莎呀，快来魔兽山脉救我哇~,,,,,,シャオ・イェン、私はメドゥーサよ、私を助けるために魔獣山脈に来て！,"샤오옌, 난 메두사야, 마법 짐승 산맥으로 와서 날 구해줘!"
极乐净土,Blissful Land,极乐净土,,,,,,極楽浄土,순수한 행복의 땅
MetaWorld,MetaWorld,MetaWorld,,,,,,MetaWorld,MetaWorld
"成为倒霉之帝，需要被电击或被击飞或被发射1000次,奖励等级+99999","To become an unlucky emperor, you need to be shocked or knocked away or fired 1000 times. Reward level +99999","成为倒霉之帝，需要被电击或被击飞或被发射1000次,奖励等级+99999",,,,,,不運の皇帝になるには、感電死させられるか、飛ばされるか、1000回打ち上げられる必要がある。,"불운의 황제가 되려면 감전되거나 1000번 날아가거나 발사되어야 하며, 보너스 레벨 +99999를 획득해야 합니다."
Text,Text,Text,,,,,,Text,Text
啊啊啊,Ah...,啊啊啊,,,,,,ああああ,아아아아
任务,TASKS,任务,,,,,,タスク,일
aaaaaa,aaaaaa,aaaaaa,,,,,,aaaaaa,aaaaaa
100/20000,100/20000,100/20000,,,,,,100/20000,100/20000
完成！,Finished!,完成！,,,,,,完了した！,완료!
已获得,Obtained,已获得,,,,,,取得しました,획득
地阶高级斗技,Advanced Battle Skill,地阶高级斗技,,,,,,グラウンド・レベルの上級ファイティング・テクニック,지상 고급 전투 기술
增加最大生命值,Increase max HP,增加最大生命值,,,,,,最大寿命を延ばす,최대 수명 증가
斗技,Fighter,斗技,,,,,,戦闘スキル,전투 기술
功法,Skill,功法,,,,,,カンフー,쿵푸
丹药,Pill,丹药,,,,,,エリクサー,엘릭서
异火,Misfire,异火,,,,,,奇妙な火,이상한 불
恭喜你获得,Congratulations!,恭喜你获得,,,,,,おめでとう,귀하의
点击任意位置继续……,Tap anywhere to continue ......,点击任意位置继续……,,,,,,続行するには任意の場所をクリックしてください…,계속하려면 아무 곳이나 클릭하세요…
欢迎来到斗破苍穹乐园，我是你的私人游戏助理，接下来由我来帮助你了解游戏玩法吧~,"Welcome to Breakthrough Arena! I'm your personal game assistant, so let me help you understand the gameplay!",欢迎来到斗破苍穹乐园，我是你的私人游戏助理，接下来由我来帮助你了解游戏玩法吧~,,,,,,ドゥービーパラダイスへようこそ！私はあなた専属のゲームアシスタントです！,"두비 파라다이스에 오신 것을 환영합니다, 저는 여러분의 개인 게임 도우미입니다, 다음 게임 플레이에 대한 이해를 도와드릴게요~!"
07:59,07:59,07:59,,,,,,07:59,07:59
换装,Change clothes,换装,,,,,,ドレスアップ,옷을 입다
抽奖,Lottery,抽奖,,,,,,宝くじ,운
升级,UPGRADE,升级,,,,,,アップグレード,치받이
签到,Check-in,签到,,,,,,サインイン,로그인
排行榜,Leaderboard,排行榜,,,,,,ランキング一覧,순위 목록
背景音乐,Music,背景音乐,,,,,,バックグラウンドミュージック,배경 음악
藏宝图,Treasure Map,藏宝图,,,,,,宝の地図,보물지도
商店,Shop,商店,,,,,,店,가게
回家,Go Home,回家,,,,,,家に帰れ,집에 가다
STAY,STAY,STAY,,,,,,STAY,STAY
飞行倒计时 10 秒,Flight Countdown: 10s,飞行倒计时 10 秒,,,,,,フライトカウントダウン10秒,비행 카운트다운 10초
击杀怪物可以获得经验进行升级,Defeating monsters can earn you EXP to level up.,击杀怪物可以获得经验进行升级,,,,,,モンスターを倒してアップグレードのための経験値を得る,몬스터를 처치하여 업그레이드 경험치 획득
最大生命值：999,Max HP: 999,最大生命值：999,,,,,,寿命の最大値：999,최대 수명 값: 999
攻击力：100,ATK: 100,攻击力：100,,,,,,攻撃力：100,공격력: 100
移动速度：999,Speed: 999,移动速度：999,,,,,,移動速度：999,이동 속도: 999
